,Samples,P%³,LOI (%),UL-94,Unnamed: 5,.1,.2,amples T5% a (C),amples Tmax ( °C(),amples W700 C (%),Air T5% (C),Air Tmax1 (C),Air Tmax2 (C),Air W700 (%),Vectors,Ref
0,.5% DPIPP/EP,,,,,,,329.1,370.7,22.7,328.6,373.0,623.0,2.2,"['(0.005)DPIPP', 'EP']",j.cej.2017.12.086
1,.5% DPPIO/EP,,,,,,,362.4,426.8,15.5,352.0,414.8,564.9,0.3,"['(0.005)DPPIO', 'EP']",j.cej.2017.12.086
2,15% DPIPP/EP,1.55,31.5,2s/1: S,V-0,13s/9s,V-1,,,,,,,,"['(0.15)DPIPP', 'EP']",j.cej.2017.12.086
3,15% DPPIO/EP,1.72,38.0,2 s/ls,V-0,4 s/3s,V-0,,,,,,,,"['(0.15)DPPIO', 'EP']",j.cej.2017.12.086
4,5% DPIPP/EP,,,,,,,318.6,353.6,25.3,318.4,350.2,554.4,12.0,"['(0.05)DPIPP', 'EP']",j.cej.2017.12.086
5,5% DPPIO/EP,,,,,,,344.6,410.5,16.0,338.5,390.8,581.8,2.3,"['(0.05)DPPIO', 'EP']",j.cej.2017.12.086
6,5% MZ/EP,,,,,,,300.0,440.8,9.8,297.4,439.7,558.8,0.0,"['(0.05)MZ', 'EP']",j.cej.2017.12.086
7,7.5% DPIPP/EP,0.77,27.5,> 1 min/-,NR,-,-,,,,,,,,"['(0.075)DPIPP', 'EP']",j.cej.2017.12.086
8,7.5% DPPIO/EP,0.86,33.0,> 1min/-,NR,-,-,,,,,,,,"['(0.075)DPPIO', 'EP']",j.cej.2017.12.086
9,7.5% MZ/EP,-,21.0,1 min/-,NR,-,-,,,,,,,,"['(0.075)MZ', 'EP']",j.cej.2017.12.086
