,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSP (m²),av-CO (kg-kg-1),CO₂ (kg/kg),Residue (wt%),FR content (phr),Heat flux (kWm-2),Heat flux Reference,WAP  12 h,at 70 (%) 24 h,(°C)  48 h,Tensile strength (MPa),Elongation at break (%),Tensile modulus (GPa),Flexural strength (MPa),Flexural modulus (GPa),Elongation at break (%)_err,DGEBA (g),DDM (g),PCTP (g),PCTP phr,content (wt%),Vectors,Ref
0,EP,136.0,847.6,106.7,33.7,0.0498,1.0763,10.8,,,,,,,,,,,,,,,,,,['EP'],j.cej.2019.123830
1,EP@PCTP-4,106.0,378.1,72.9,29.5,0.0602,1.0557,22.7,,,,,,,,,,,,,,,,,,"['EP', 'PCTP(4)']",j.cej.2019.123830
2,EP@PCTP-6,191.0,249.3,40.3,25.1,0.0443,0.7022,25.2,,,,,,,,,,,,,,,,,,"['EP', 'PCTP(6)']",j.cej.2019.123830
3,EP@PCTP-8,192.0,227.1,33.3,19.4,0.0409,0.6135,28.5,,,,,,,,,,,,,,,,,,"['EP', 'PCTP(8)']",j.cej.2019.123830
4,BPA-BPP,,60.0,11.0,31.0,,,,9.9,35.0,[65],,,,,,,,,,,,,,,['BPA-BPP'],j.cej.2019.123830
5,BPFA,,47.0,29.0,48.0,,,,9.9,50.0,[51],,,,,,,,,,,,,,,['BPFA'],j.cej.2019.123830
6,BPS-BPP,,46.0,15.0,71.0,,,,9.9,35.0,[66],,,,,,,,,,,,,,,"['BPS', 'BPP']",j.cej.2019.123830
7,EP,,,,,,,,,,,0.23,0.32,0.65,63.7,11.2,1.07,115.17,3.55,2.0,100.0,25.74,0.0,0.0,0.0,['EP'],j.cej.2019.123830
8,EP@PCTP-4,,,,,,,,,,,0.14,0.27,0.6,70.91,8.8,1.1,119.8,3.61,0.3,100.0,25.74,5.24,4.2,4.0,"['EP', 'PCTP(4)']",j.cej.2019.123830
9,EP@PCTP-6,,,,,,,,,,,0.11,0.19,0.53,68.61,8.5,1.15,121.04,3.77,0.2,100.0,25.74,8.03,6.4,6.0,"['EP', 'PCTP(6)']",j.cej.2019.123830
10,EP@PCTP-8,,,,,,,,,,,0.08,0.15,0.47,64.31,7.8,1.18,114.6,3.9,0.2,100.0,25.74,10.93,8.7,8.0,"['EP', 'PCTP(8)']",j.cej.2019.123830
11,HAP-DOPO,,57.0,/,/,,,,10.3,50.0,[64],,,,,,,,,,,,,,,"['HAP', 'DOPO']",j.cej.2019.123830
12,PCTP,,73.0,69.0,42.0,,,,8.7,35.0,This work,,,,,,,,,,,,,,,['PCTP'],j.cej.2019.123830
