,Samples,Thickness,Content,Transmission Loss (dB),Reflection Loss (dB),Ref.,8',"e""",H,"1""",8'_err,"e""_err",H_err,"1""_err",E',E6',u',"u""",E'_err,E6'_err,u'_err,"u""_err",Vectors,Ref
0,Annealed graphene aerogel/epoxy,4.0,0.8 wt.% GA,30.0,5.0,[48],,,,,,,,,,,,,,,,,"['Annealedgrapheneaerogel', 'EP']",j.compositesb.2018.12.130
1,Graphene nano-sheet/BaTiO3,1.5,4.0 wt.% GNA,42.0,6.0,[49],,,,,,,,,,,,,,,,,"['Graphenenano-sheet', 'BaTiO3']",j.compositesb.2018.12.130
2,Sugarcane derived aerogel-like carbon,10.0,-,51.0,5.0,[50],,,,,,,,,,,,,,,,,['Sugarcanederivedaerogel-likecarbon'],j.compositesb.2018.12.130
3,MWCNTs + graphene/PVDF,4.0,2.25 wt.% MWCNTs 2.25 wt.% graphene,45.0,8.0,[51],,,,,,,,,,,,,,,,,"['MWCNTs+graphene', 'PVDF']",j.compositesb.2018.12.130
4,Acid-modified MWCNTs/polyurethane,1.5,10 wt.% a-MWCNT,29.0,9.0,[52],,,,,,,,,,,,,,,,,"['Acid-modifiedMWCNTs', 'polyurethane']",j.compositesb.2018.12.130
5,MWCNTs/ABS,3.0,5 wt.% MWCNT,45.0,6.0,[53],,,,,,,,,,,,,,,,,"['MWCNTs', 'ABS']",j.compositesb.2018.12.130
6,Graphene/PDMS,1.0,0.8 wt.% graphene,20.0,4.0,[54],,,,,,,,,,,,,,,,,"['Graphene', 'PDMS']",j.compositesb.2018.12.130
7,Graphene/PS,2.5,30 wt.% graphene,29.0,3.0,[55],,,,,,,,,,,,,,,,,"['Graphene', 'PS']",j.compositesb.2018.12.130
8,Nickel-coated carbon fiber/PP,0.5,30 wt.% Ni-CF,48.0,7.0,[56],,,,,,,,,,,,,,,,,"['Nickel-coatedcarbonfiber', 'PP']",j.compositesb.2018.12.130
9,NdFeB; MWCNTs/epoxy + MWCNT film,1.1,5 wt.% MWCNTs 30 wt.% NdFeB,40.0,11.0,This work,,,,,,,,,,,,,,,,,"['NdFeB;MWCNTs', 'EP+MWCNTfilm']",j.compositesb.2018.12.130
10,5%MWCNT/30%NdFeB/epoxy,,,,,This W,17.0,7.4,1.38,0.86,2.3,1.9,0.27,0.19,,,,,,,,,"['(0.05)MWCNT', '(0.3)NdFeB', 'EP']",j.compositesb.2018.12.130
11,Barium ferrite@rGO,,,,,[23],20.0,12.5,0.45,0.1,2.5,2.0,0.08,0.08,,,,,,,,,"['Bariumferrite', 'rGO']",j.compositesb.2018.12.130
12,Barium ferrite@rEGO,,,,,[40],,,,,2.4,0.1,1.0,0.7,,,,,,,,,"['Bariumferrite', 'rEGO']",j.compositesb.2018.12.130
13,Barium ferrite@wax,,,,,[39],6.0,2.8,1.65,,1.2,0.8,0.05,-,,,,,,,,,"['Bariumferrite', 'wax']",j.compositesb.2018.12.130
14,5%MWCNT/30%NdFeB/epoxy,,,,,This work,,,,,,,,,17.0,7.4,1.38,0.86,2.3,1.9,0.27,0.19,"['(0.05)MWCNT', '(0.3)NdFeB', 'EP']",j.compositesb.2018.12.130
15,Barium ferrite@rEGO,,,,,[40],,,,,,,,,,,,,2.4,0.1,1.0,0.7,"['Bariumferrite', 'rEGO']",j.compositesb.2018.12.130
16,Barium ferrite@rGO,,,,,[23],,,,,,,,,20.0,12.5,0.45,0.1,2.5,2.0,0.08,0.08,"['Bariumferrite', 'rGO']",j.compositesb.2018.12.130
17,Barium ferrite@wax,,,,,[39],,,,,,,,,6.0,2.8,1.65,,1.2,0.8,0.05,-,"['Bariumferrite', 'wax']",j.compositesb.2018.12.130
