,Samples,To (°C),"Tp,1° (C)","Tp,2° (°C)",Tt (°C),ΔH (J/g),DGEBA (g),BIM (g),DOPO (g),BICP (g),P content (wt%),LOI (%),UL-94,PHRR (kW/m²),THR (MJ/m²),FPI (m²s/kW),FGR (kW/m²s),TSP (m²),PSPR (m²/s),AEHC (MJ/kg),RWB (%),PHRR (kW/m²)_err,THR (MJ/m²)_err,FPI (m²s/kW)_err,FGR (kW/m²s)_err,TSP (m²)_err,PSPR (m²/s)_err,AEHC (MJ/kg)_err,RWB (%)_err,Vectors,Ref
0,EP/BICP-12,192.0,211.0,/,236.0,535.0,100.0,/,/,12.0,1.2,33.5,V-0,403.0,62.0,0.072,3.5,24.4,0.209,23.8,21.1,10.0,1.5,0.003,0.2,0.9,0.008,0.3,0.4,"['EP', 'BICP(12)']",j.compositesb.2020.108601
1,EP/BIM-10,95.0,106.0,166.0,204.0,470.0,100.0,10,/,/,/,21.5,NR,1335.0,95.0,0.03,12.4,26.5,0.348,24.2,3.9,20.0,3.2,0.001,0.5,1.0,0.012,0.3,0.1,"['EP', 'BIM(10)']",j.compositesb.2020.108601
2,EP/DOPO/ BICP-11,,,,,,100.0,/,10.0,12.1,2.3,,,,,,,,,,,,,,,,,,,"['EP', 'DOPO', 'BICP(11)']",j.compositesb.2020.108601
3,EP/DOPO/ BICP-15,,,,,,100.0,/,10.0,16.5,2.6,,,,,,,,,,,,,,,,,,,"['EP', 'DOPO', 'BICP(15)']",j.compositesb.2020.108601
4,EP/DOPO/ BICP-7,,,,,,100.0,/,10.0,7.7,1.9,,,,,,,,,,,,,,,,,,,"['EP', 'DOPO', 'BICP(7)']",j.compositesb.2020.108601
5,EP/DOPO/BICP- 11,,,,,,,,,,,38.3,V-0,354.0,44.8,0.101,2.6,13.1,0.125,14.6,20.8,17.0,1.9,0.004,0.1,0.4,0.004,0.5,0.8,"['EP', 'DOPO', 'BICP(11)']",j.compositesb.2020.108601
6,EP/DOPO/BICP- 15,,,,,,,,,,,36.1,V-0,389.0,54.8,0.085,3.6,15.9,0.154,18.4,21.8,15.0,1.7,0.002,0.1,0.6,0.007,0.7,0.6,"['EP', 'DOPO', 'BICP(15)']",j.compositesb.2020.108601
7,EP/DOPO/BICP- 7,,,,,,,,,,,34.2,V-0,403.0,53.4,0.097,3.1,16.7,0.168,16.0,18.9,12.0,1.8,0.003,0.2,0.7,0.006,0.6,0.5,"['EP', 'DOPO', 'BICP(7)']",j.compositesb.2020.108601
8,EP/DOPO/BICP-11,151.0,168.0,183.0,206.0,469.0,,,,,,,,,,,,,,,,,,,,,,,,"['EP', 'DOPO', 'BICP(11)']",j.compositesb.2020.108601
9,EP/DOPO/BICP-15,153.0,168.0,181.0,202.0,494.0,,,,,,,,,,,,,,,,,,,,,,,,"['EP', 'DOPO', 'BICP(15)']",j.compositesb.2020.108601
10,EP/DOPO/BICP-7,153.0,169.0,186.0,215.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,"['EP', 'DOPO', 'BICP(7)']",j.compositesb.2020.108601
