,Samples,B (°C/min),Tp (°C),(J/g),Ek (kJ/mol),A (s⁻¹),E° (kJ/mol),Vectors,Ref
0,DGEBA,5.0,135.1,212.3,47.9,4.0,52.3,['DGEBA'],j.cej.2017.04.070_20_0
1,/DDM,10.0,151.5,217.4,,,,"['', 'DDM']",j.cej.2017.04.070_20_0
2,,15.0,164.4,254.7,,,,[''],j.cej.2017.04.070_20_0
3,,20.0,173.0,314.6,,,,[''],j.cej.2017.04.070_20_0
4,DGEBA,5.0,136.8,220.3,49.1,5.27,53.4,['DGEBA'],j.cej.2017.04.070_20_0
5,/DDM,10.0,154.0,230.8,,,,"['', 'DDM']",j.cej.2017.04.070_20_0
6,/HPAPOA1,15.0,166.2,261.4,,,,"['', 'HPAPOA(1)']",j.cej.2017.04.070_20_0
7,,20.0,174.2,316.4,,,,[''],j.cej.2017.04.070_20_0
8,DGEBA,5.0,139.3,214.8,55.7,3.88,59.8,['DGEBA'],j.cej.2017.04.070_20_0
9,/DDM,10.0,153.7,222.9,,,,"['', 'DDM']",j.cej.2017.04.070_20_0
10,/HPAPOA2,15.0,164.5,236.3,,,,"['', 'HPAPOA(2)']",j.cej.2017.04.070_20_0
11,,20.0,173.1,280.7,,,,[''],j.cej.2017.04.070_20_0
12,DGEBA,5.0,138.2,222.1,61.3,2.27,65.0,['DGEBA'],j.cej.2017.04.070_20_0
13,/DDM,10.0,151.7,236.8,,,,"['', 'DDM']",j.cej.2017.04.070_20_0
14,/HPAPOA3,15.0,160.9,255.0,,,,"['', 'HPAPOA(3)']",j.cej.2017.04.070_20_0
15,,20.0,169.1,303.9,,,,[''],j.cej.2017.04.070_20_0
16,DGEBA,5.0,136.9,235.6,64.4,6.25,67.9,['DGEBA'],j.cej.2017.04.070_20_0
17,/DDM,10.0,150.1,245.9,,,,"['', 'DDM']",j.cej.2017.04.070_20_0
18,/HPAPOA3.5,15.0,158.4,274.3,,,,"['', 'HPAPOA(3.5)']",j.cej.2017.04.070_20_0
19,,20.0,166.3,315.1,,,,[''],j.cej.2017.04.070_20_0
