,Samples,Conductivity (S/cm),conductivity (S/cm),Vectors,conductivity (S/cm)_err,Ref
0,,166.7,,[''],,j.cej.2021.131269_4_0
1,,163.9,,[''],,j.cej.2021.131269_4_0
2,G,163.9,163.9,['G'],1.7,j.cej.2021.131269_4_0
3,,161.3,,[''],,j.cej.2021.131269_4_0
4,,163.9,,[''],,j.cej.2021.131269_4_0
5,,3.0,,[''],,j.cej.2021.131269_4_0
6,,3.1,,[''],,j.cej.2021.131269_4_0
7,G-SPANI-LDH,2.9,3.0,"['G', 'SPANI', 'LDH']",0.1,j.cej.2021.131269_4_0
8,,3.0,,[''],,j.cej.2021.131269_4_0
9,,3.0,,[''],,j.cej.2021.131269_4_0
