,Samples,T(°C),k1 (min⁻¹),k2 (min⁻¹),m,n,m+ n,Of,Vectors,Ref
0,,180.0,0.021,0.112,1.1,1.91,3.01,0.75,[''],j.matchemphys.2009.07.045_6_1
1,,190.0,0.04,0.121,1.09,1.82,2.91,0.82,[''],j.matchemphys.2009.07.045_6_1
2,Neat epoxy,200.0,0.065,0.156,1.02,1.64,2.66,0.83,['EP'],j.matchemphys.2009.07.045_6_1
3,,210.0,0.085,0.223,0.96,1.57,2.53,0.88,[''],j.matchemphys.2009.07.045_6_1
4,,180.0,0.023,0.103,1.13,1.86,2.99,0.75,[''],j.matchemphys.2009.07.045_6_1
5,,190.0,0.039,0.124,1.18,1.75,2.93,0.8,[''],j.matchemphys.2009.07.045_6_1
6,As-received CNFs/epoxy,200.0,0.063,0.157,1.12,1.56,2.68,0.83,"['As-receivedCNFs', 'EP']",j.matchemphys.2009.07.045_6_1
7,,210.0,0.084,0.221,0.98,1.58,2.56,0.84,[''],j.matchemphys.2009.07.045_6_1
8,,180.0,0.026,0.116,1.07,1.81,2.88,0.78,[''],j.matchemphys.2009.07.045_6_1
9,,190.0,0.043,0.126,0.97,1.72,2.69,0.83,[''],j.matchemphys.2009.07.045_6_1
10,Acid treated CNFs/epoxy,200.0,0.068,0.179,0.93,1.54,2.47,0.85,"['AcidtreatedCNFs', 'EP']",j.matchemphys.2009.07.045_6_1
11,,210.0,0.087,0.241,0.91,1.49,2.4,0.91,[''],j.matchemphys.2009.07.045_6_1
12,,180.0,0.028,0.118,1.04,1.77,2.81,0.8,[''],j.matchemphys.2009.07.045_6_1
13,,190.0,0.045,0.131,0.94,1.68,2.62,0.83,[''],j.matchemphys.2009.07.045_6_1
14,Silane treated CNFs/epoxy,200.0,0.071,0.184,1.16,1.51,2.67,0.87,"['SilanetreatedCNFs', 'EP']",j.matchemphys.2009.07.045_6_1
15,,210.0,0.091,0.262,0.99,1.38,2.37,0.95,[''],j.matchemphys.2009.07.045_6_1
