,Samples,TTI (s),PHRR (kW/m²),HRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),pk-MLR /g s-1,Vectors,Ref
0,EDA-Al,52.0,1309.2,308.4,63.8,97.0,0.64,"['EDA', 'Al']",s0141-3910(02)00075-7_3_1
1,EDA-A3,78.0,1197.7,279.8,58.1,32.5,0.59,"['EDA', 'A(3)']",s0141-3910(02)00075-7_3_1
2,EDA-B1,42.0,1519.8,418.3,83.9,50.8,0.75,"['EDA', 'B(1)']",s0141-3910(02)00075-7_3_1
3,EDA-B2,47.0,1449.0,347.5,72.3,22.9,0.72,"['EDA', 'B(2)']",s0141-3910(02)00075-7_3_1
4,EDA-B3,53.0,897.5,264.7,56.8,17.5,0.63,"['EDA', 'B(3)']",s0141-3910(02)00075-7_3_1
5,EDA-B4,64.0,591.7,227.0,39.5,16.7,0.41,"['EDA', 'B(4)']",s0141-3910(02)00075-7_3_1
6,PA-AI,40.0,1165.7,270.1,56.0,43.2,0.66,"['PA', 'AI']",s0141-3910(02)00075-7_3_1
7,PA-A3,102.0,442.1,187.0,37.6,9.4,0.4,"['PA', 'A(3)']",s0141-3910(02)00075-7_3_1
8,PA-B1,79.0,866.5,338.5,59.0,20.9,0.62,"['PA', 'B(1)']",s0141-3910(02)00075-7_3_1
9,PA-B3,119.0,441.6,129.5,33.7,9.0,0.36,"['PA', 'B(3)']",s0141-3910(02)00075-7_3_1
