,Samples,T5% (°C),Tmax (°C),Rmax (%/min),Char residue (800 °C) (%),LOI (%),UL-94,Dripping,Vectors,Ref
0,Cal-EP/TMD,316.4,409.6,,8.7,,,,"['Cal-EP', 'TMD']",j.cej.2019.121916
1,Exp-EP/TMD,348.7,389.7,,16.7,,,,"['Exp-EP', 'TMD']",j.cej.2019.121916
2,TMD,201.3,204.5,,14.9,,,,['TMD'],j.cej.2019.121916
3,EP,356.9,407.5,14.5,6.5,20.1,NR,Yes,['EP'],j.cej.2019.121916
4,EP-DOPO,289.2,387.2,13.6,5.9,31.9,V-1,No,"['EP', 'DOPO']",j.cej.2019.121916
5,EP-0.5,356.3,398.2,14.6,11.5,25.0,NR,No,['EP(0.5)'],j.cej.2019.121916
6,EP-1.0,354.9,398.0,14.6,12.5,28.3,V-1,No,['EP(1.0)'],j.cej.2019.121916
7,EP-1.5,354.0,393.2,13.9,13.3,30.7,V-1,No,['EP(1.5)'],j.cej.2019.121916
8,EP-2.0,348.7,389.7,12.3,16.7,32.8,V-0,No,['EP(2.0)'],j.cej.2019.121916
