,Samples,E (kJ/mol),Curing system.1,(kJ/mol),BPO (phr),BPAF (phr),Mn a (x10 3 g/mol),Mw/M,High M (%),Vectors,Ref
0,A-rPPO (A10),,,,10.0,50.0,2.0,1.4,36.0,"['A', 'rPPO(A(10))']",j.eurpolymj.2021.110674
1,EP-0,52.68,20.0,61.83,,,,,,['EP-0'],j.eurpolymj.2021.110674
2,EP20-A,63.14,30.0,65.06,,,,,,['EP(20)-A'],j.eurpolymj.2021.110674
3,EP20-F5,65.15,20.0,77.55,,,,,,"['EP(20)', 'F(5)']",j.eurpolymj.2021.110674
4,EP30-F5,66.9,30.0,80.8,,,,,,"['EP(30)', 'F(5)']",j.eurpolymj.2021.110674
5,EP40-F5,74.37,40.0,91.94,,,,,,"['EP(40)', 'F(5)']",j.eurpolymj.2021.110674
6,F10-50 (F10),,,,10.0,50.0,3.0,2.5,10.1,"['F(10)', '(50)(F10)']",j.eurpolymj.2021.110674
7,F2.5-50 (F2.5),,,,2.5,50.0,6.2,2.7,31.8,"['F(2.5)', '(50)(F2.5)']",j.eurpolymj.2021.110674
8,F20-50 (F20),,,,20.0,50.0,3.1,2.8,12.6,"['F(20)', '(50)(F20)']",j.eurpolymj.2021.110674
9,F5-50 (F5),,,,5.0,50.0,4.7,2.7,21.5,"['F(5)', '(50)(F5)']",j.eurpolymj.2021.110674
10,PPO,,,,-,-,19.0,2.0,-,['PPO'],j.eurpolymj.2021.110674
